GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hop Core,org.apache.hop.core.svg,SvgImage,0,9,0,0,0,4,0,2,0,2
Hop Core,org.apache.hop.core.svg,SvgCache,216,0,18,0,43,0,14,0,5,0
Hop Core,org.apache.hop.core.svg,SvgFile,55,0,6,0,17,0,10,0,7,0
Hop Core,org.apache.hop.core.svg,SvgSupport,0,90,3,3,0,20,3,10,0,10
Hop Core,org.apache.hop.core.svg,SvgCacheEntry,77,0,6,0,25,0,14,0,11,0
Hop Core,org.apache.hop.core.gui.plugin,GuiPluginType,59,0,2,0,26,0,22,0,21,0
Hop Core,org.apache.hop.core.gui.plugin,GuiElementType,54,0,0,0,6,0,1,0,1,0
Hop Core,org.apache.hop.core.gui.plugin,GuiElements,379,0,20,0,118,0,63,0,53,0
Hop Core,org.apache.hop.core.gui.plugin,GuiRegistry,594,100,72,8,156,26,70,7,33,4
Hop Core,org.apache.hop.core.gui.plugin,BaseGuiElements,70,0,12,0,19,0,11,0,5,0
Hop Core,org.apache.hop.i18n,BaseMessages,67,46,4,2,11,16,9,8,7,7
Hop Core,org.apache.hop.i18n,LafMessageHandler,47,63,8,4,8,22,7,5,1,5
Hop Core,org.apache.hop.i18n,PackageMessages,46,0,2,0,8,0,5,0,4,0
Hop Core,org.apache.hop.i18n,AbstractMessageHandler,5,3,0,0,3,1,3,1,3,1
Hop Core,org.apache.hop.i18n,GlobalMessages,28,196,1,1,5,22,5,10,4,10
Hop Core,org.apache.hop.i18n,LanguageChoice,4,39,1,3,1,13,1,5,0,4
Hop Core,org.apache.hop.i18n,GlobalMessageUtil.GlobalMessageControl,18,86,5,9,7,22,3,8,0,4
Hop Core,org.apache.hop.i18n,GlobalMessageUtil,349,319,4,22,56,60,19,24,16,14
